Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
RTC Washoe FlexRIDE On-Demand Service,NV,"Reno/Sparks, Washoe County, NV — zones: North Valleys, Sparks/Spanish Springs, South Meadows, Verdi/Somersett",Mixed,RTC Washoe (Regional Transportation Commission of Washoe County),Microtransit,Not specified,"App, Phone",Same-day,"$2.00 standard / $1.00 reduced; Token Transit passes or RTC RIDE Bus Passes only, no cash accepted","Weekdays approx. 5:30 AM-11:00 PM; abbreviated weekend hours (approx. 6:00 AM-9:00 PM), varies by zone",Not specified,Not specified,Active,Not specified,"Average wait time ~20 minutes, up to 1 hour, per official site. Not specified beyond that.",https://rtcwashoe.com/flexride-on-demand-service/,39.530,-119.800,State expansion research 2026-07
Beaver City Transit,OK,"City of Beaver and up to a 10-mile radius, Beaver County, OK panhandle",Rural,"Beaver City Transit (Joyce Clark, Director)",Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Not specified,Not specified,36.811,-100.529,State expansion research 2026-07
Call A Ride Public Transit,OK,"Pontotoc County, OK (based in Ada, OK)",Rural,Call A Ride Public Transit,Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Open to the general public within Pontotoc County; contact number (580) 332-7950 per secondary source; program director listed as Jeff Epperly in one search result (unverified against a primary source).,Not specified,34.774,-96.678,State expansion research 2026-07
Cherokee Strip Transit,OK,"Alfalfa, Blaine, Grant, Kingfisher, and Noble counties plus portions of Garfield and Kay counties, north-central Oklahoma (includes Ponca City, Blackwell, Cherokee, Tonkawa, Waukomis, Enid area)",Rural,Northern Oklahoma Development Authority (NODA),Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Demand-response service open to the general public for any trip purpose; no membership required.,https://www.noda-ok.org/cherokee-strip-transit/,36.396,-97.878,State expansion research 2026-07
Cimarron Public Transit System,OK,"Logan County area (Guthrie), Oklahoma",Rural,Cimarron Public Transit System,Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,One of 20 rural Section 5311 public transit providers currently listed by Oklahoma DOT; ridership/performance not specified.,Not specified,35.878,-97.425,State expansion research 2026-07
Delta Public Transit,OK,"McClain, Garvin, and southern Cleveland Counties, Oklahoma",Rural,Delta Public Transit (Delta Community Action Foundation),Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Not specified,https://deltacommunityaction-org.doodlekit.com/home/transit,34.833,-97.598,State expansion research 2026-07
Enid Public Transportation Authority (EPTA),OK,"Enid, Oklahoma (Garfield County) — curb-to-curb within city limits",Rural,City of Enid,Demand-Response,Not specified,"Phone, Online",Flexible,$2/ride if scheduled ≥1 business day ahead by 4pm; $5/ride same-day (space permitting); punch cards: 10 rides/$20 or 40 rides/$60,"Bus service Mon–Fri 6:00am–7:00pm, Sat 6:00am–5:00pm; dispatch Mon–Fri 8:00am–5:00pm",Not specified,Not specified,Active,"Not specified (hydraulic-lift buses for mobility devices mentioned, no fleet count given)","Curb-to-curb rideshare, mobility-device friendly; online scheduling via SeeClickFix portal; rides requested after 4pm dispatch cutoff roll to next business day",https://www.enid.org/Services/Enid-Public-Transportation-Authority-EPTA,36.397,-97.881,State expansion research 2026-07
Guymon Transit - The Ride,OK,"Guymon / Texas County, Oklahoma panhandle",Rural,City of Guymon,Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Not specified,Not specified,36.685,-101.480,State expansion research 2026-07
JAMM Transit,OK,"Johnston, Atoka, Marshall, and Murray Counties, OK",Rural,JAMM Transit (program contact: LaQuita Thornley; hosted via a local Community Action Agency),Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Listed as an active FTA Section 5311 rural transit provider on ODOT's current provider directory; open to the general public. Contact: (580) 371-2352.,Not specified,34.239,-96.677,State expansion research 2026-07
KI BOIS Area Transit System (KATS),OK,"Southeastern/East-Central Oklahoma — multi-county service area based in Stigler, OK; official site lists differ slightly by page but include Haskell, Latimer, LeFlore, McIntosh, Pittsburg, Sequoyah, and others (Adair, Cherokee, Hughes, Okfuskee, Okmulgee, Wagoner) — see gaps",Rural,KI BOIS Community Action Foundation,Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Specially equipped vehicles for curb-to-curb/door-to-door service; fleet size not specified,Not specified,https://www.kibois.org/kats,35.259,-95.062,State expansion research 2026-07
Little Dixie Transit,OK,"Southeastern Oklahoma — McCurtain, Choctaw, and Pushmataha counties (candidate's original 5-county list, including Atoka and Bryan, is not supported by sources found; corrected to 3 counties)",Rural,"Little Dixie Community Action Agency (Hugo, OK) — one source indicates the agency now operates as ""LIFT Community Action Agency,"" unconfirmed on a second source",Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,1983,Federal (FTA Section 5311),Active,Not specified,"ODOT provider page states ""All services are 'Open to the Public.'"" Director listed as Jeannie McMillin; contact (580) 326-3466 / jmcmillin@littledixie.org.",http://www.littledixie.org/ldcaatransportation.html,34.040,-95.320,State expansion research 2026-07
MTTA On-Demand Microtransit (GoPass App),OK,"Tulsa metro area, including a confirmed 20-sq-mi Broken Arrow zone (launched ~Feb 2024, $500K CMAQ grant); other zone boundaries not fully confirmed",Urban,Metropolitan Tulsa Transit Authority (MTTA),Microtransit,RideCo,App,Same-day,Not specified,Not specified,2023,"Broken Arrow zone funded by $500,000 federal CMAQ grant; other zones' funding not specified",Active - Expanding,Broken Arrow zone: 4 Ford Mustang Mach-E + 1 wheelchair-accessible van; other zones not specified,"RideCo, in partnership with MTTA, Unwire, and Dallas Area Rapid Transit (DART), launched an on-demand microtransit program in Tulsa integrated into the GoPass rider app (RideCo company blog post dated April 24, 2023, corroborated by prior search-snippet reporting of the same PRNewswire release). A follow-up RideCo announcement dated November 12, 2024 (also covered by PR Newswire, headline referencing 'MetroLink Tulsa') describes RideCo, Kuba, and MTTA/its rebranded identity launching an expanded multi-modal trip-planning and on-demand booking service via the single GoPass app. GoPass itself has offered trip-planning since ~August 2020, per RideCo's own copy, but the on-demand microtransit booking capability specifically dates to the April 2023 integration. Exact zone, fare, and current ridership figures not found in this pass; MTTA's own site (tulsatransit.org) returned repeated 502 errors and could not be checked directly. Broken Arrow zone fare: $1.75/3-hr ticket, $3.50/day pass, Mon-Fri 8am-5pm, book up to 1hr ahead. MTTA rebranded to ""MetroLink Tulsa"" in 2024 (same legal entity).",Not specified,36.154,-95.993,State expansion research 2026-07
Pelivan Transit,OK,"Northeastern Oklahoma — Craig, Delaware, Mayes, Nowata, Ottawa, and Rogers counties (including Owasso/Collinsville zone)",Rural,Grand Gateway Economic Development Association (Grand Gateway EDA),Demand-Response,Via,"Phone, App",Same-day (standard fare); 24hr advance earns $1 discount,"$3 base fare per county/zone; $1 senior discount; sponsored/discounted rates for veterans, tribal members, seniors, and commuters",Not specified (booking/office hours Mon–Fri 8:00 AM–4:30 PM; after-hours/weekend requests routed through PickTransportation.org),1985,"Federal (FTA Section 5311 rural and 5311(c) tribal transit grants), State (Oklahoma), Local, Fares",Active,Not specified,Not specified,https://www.pelivantransit.org,36.639,-95.153,State expansion research 2026-07
Red River Public Transportation Service,OK,"Southwestern & South-Central Oklahoma: Roger Mills, Beckham, Custer, Washita, Kiowa, Tillman, Cotton, Jefferson, Stephens, Woodward, Caddo, Carter, Comanche, Ellis, Dewey, and Canadian counties",Rural,Community Action Development Corporation (CADC),Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,1984,Federal (FTA Section 5311),Active,Not specified,"Operating since 1984; provides demand-response service in selected cities plus contract services to businesses, schools, and health providers. Explicitly stated as open to the general public ('All services are open to the public').",https://www.cadcconnection.com/public-transportation.html,35.20,-99.20,State expansion research 2026-07
Southern Oklahoma Rural Transportation System,OK,"South-central Oklahoma (Ardmore/Carter County area, exact county coverage unverified)",Rural,Southern Oklahoma Rural Transportation System,Demand-Response,Not specified,Phone,"Same-day (min 1hr notice); 24hr advance preferred, not required",Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Not specified,Not specified,34.174,-97.144,State expansion research 2026-07
Southwest Transit,OK,Southwestern Oklahoma,Rural,Southwest Transit,Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Federal (FTA Section 5311),Active,Not specified,Not specified,Not specified,34.95,-99.05,State expansion research 2026-07
RIPTA Flex On Demand,RI,"Multiple non-contiguous zones: South County (South Kingstown/Narragansett area), Coventry, West Warwick, Westerly, and Aquidneck Island (Newport/Middletown), Rhode Island",Mixed,Rhode Island Public Transit Authority (RIPTA),Microtransit,Not specified,App,Same-day,Not specified (candidate claim of $2.00 fixed-route-parity fare unverified; only a limited-time promo fare code was found in sources checked),Monday-Friday 6:45am-5:15pm; Saturday 8:45am-4:45pm; no service Sundays or holidays,2024,Not fully verified — candidate states Federal (FTA Section 5310) and State (gas tax local match / Flex Service Enhancement funds); not independently confirmed,Active - Expanding,Not specified,"Pilot launched in South County on August 26, 2024 (Monday); real-time app booking with estimated pickup time and live trip tracking, similar to rideshare apps. Subsequently expanded to Coventry, West Warwick, Westerly, and Aquidneck Island (Newport/Middletown); the Aquidneck Island zone service area covers major employers (Raytheon, Naval Undersea Warfare Center) plus residential areas and has been confirmed extended through December 31, 2026. Curb-to-curb, open to the general public, no fixed schedule.",https://www.ripta.com/flex,41.5,-71.5,State expansion research 2026-07
Bamberg County Office on Aging - Handy Ride,SC,"Bamberg County, SC",Rural,Bamberg County Office on Aging,Demand-Response,Not specified,Phone,Advance,$2.00 per 10 miles (tickets purchased at the Bamberg County Office on Aging),"Not specified (Office on Aging booking hours: Mon-Thu 8:30am-4:30pm, Fri 8:30am-3:30pm)",Not specified,Not specified,Active,Not specified,"Described on the county's own site as 'a local public transportation program' providing rides for non-Medicaid medical appointments, shopping, or work; booked by calling 803-245-3021. Listed as a transit provider in the SCDOT statewide directory under the name 'Bamberg County Office on Aging - Handy Ride.' A separate 3-day-notice Medicaid transportation service is mentioned on the same page but is distinct from Handy Ride. General-public eligibility is implied but not explicitly confirmed as unrestricted (operator is the county's senior-services agency).",https://www.bambergcounty.sc.gov/office-on-aging,33.297,-81.033,State expansion research 2026-07
